x,y,area_px,cell_type
947,480,,ST
1035,480,,ST
1123,480,,ST
1242,480,,ST
1564,480,,ST
1652,480,,ST
1740,480,,ST
1828,480,,ST
458,484,,ST
546,484,,ST
682,484,,ST
771,484,,ST
859,484,,ST
947,484,,ST
1035,484,,ST
1123,484,,ST
1211,484,,ST
1537,484,,ST
1625,484,,ST
1714,484,,ST
1802,484,,ST
352,489,,ST
511,489,,ST
647,489,,ST
735,489,,ST
823,489,,ST
912,489,,ST
1000,489,,ST
1088,489,,ST
1176,489,,ST
1480,489,,ST
1568,489,,ST
1656,489,,ST
1744,489,,ST
1833,489,,ST
453,493,,ST
541,493,,ST
678,493,,ST
766,493,,ST
854,493,,ST
942,493,,ST
1031,493,,ST
1119,493,,ST
1207,493,,ST
1498,493,,ST
1586,493,,ST
1674,493,,ST
1762,493,,ST
1850,493,,ST
453,497,,ST
634,497,,ST
779,497,,ST
868,497,,ST
956,497,,ST
1044,497,,ST
1132,497,,ST
1220,497,,ST
1502,497,,ST
1590,497,,ST
1678,497,,ST
1766,497,,ST
1855,497,,ST
449,502,,ST
775,502,,ST
863,502,,ST
951,502,,ST
1039,502,,ST
1128,502,,ST
1216,502,,ST
1559,502,,ST
1647,502,,ST
1736,502,,ST
1824,502,,ST
405,506,,ST
493,506,,ST
819,506,,ST
907,506,,ST
995,506,,ST
1083,506,,ST
1172,506,,ST
1462,506,,ST
1634,506,,ST
1722,506,,ST
1810,506,,ST
361,511,,ST
462,511,,ST
797,511,,ST
885,511,,ST
973,511,,ST
1061,511,,ST
1150,511,,ST
1238,511,,ST
1617,511,,ST
1705,511,,ST
1793,511,,ST
343,515,,ST
431,515,,ST
771,515,,ST
859,515,,ST
947,515,,ST
1035,515,,ST
1123,515,,ST
1211,515,,ST
1590,515,,ST
1678,515,,ST
1766,515,,ST
1855,515,,ST
400,519,,ST
489,519,,ST
841,519,,ST
929,519,,ST
1017,519,,ST
1105,519,,ST
1194,519,,ST
1581,519,,ST
1669,519,,ST
1802,519,,ST
